Key,EN,ZH
QUEST_SONGCLAVE_DONATE_1_DESC_WALL,"If this place must provide shelter for every ragged bug who wanders in, we&#8217;ll need supplies and currency. So if you&#8217;re reading this, empty your pockets!",如果要收容每个流浪至此的可怜虫，我们需要大量物资。看到这条就掏空你的口袋吧！
QUEST_BROODMOTHER_TITLE,The Wailing Mother,哀嚎母体
QUEST_SAVE_CITYMERCHANT_NAME,The Wandering Merchant,商贾无踪
QUEST_FIXER3_DESC_INV,Donate shell shards to aid the building of a bridge.,捐献甲壳碎片帮助建造桥梁。
SQ_MELODY_ARCHITECT_NAME,Architect&#8217;s Melody,建筑师的旋律
MQ_DIVINGBELL_1_NAME,The Dark Below,暗藏其下
SQ_MELODY_LIBRARIAN_DESC,Search the cloistered wing of the Citadel for the melody of the Vaultkeepers.,在圣堡隐秘区域寻找书库管理员的旋律
QUEST_SKULL_KING_DESC,Hunt a Skull Tyrant of the Marrow.,猎杀髓骨洞窟的骷髅暴君。
QUEST_SAVE_COURIER_TALL_DESC,"Search for traces of the courier, Pill, and track his location.&lt;br&gt;&lt;br&gt;Pill was last seen in lower Greymoor.",寻找送货员皮尔的踪迹。&lt;br&gt;&lt;br&gt;他最后出现在灰沼下层。
GARMOND_BLACK_THREADED_NAME,Hero&#8217;s Call,英勇救援
TYPE_STEELSENTINEL_TITLE,Steel,钢铁
TYPE_COURIER_TITLE,Delivery,递送
QUEST_PILGRIM_RAGS_DESC_READY,Turn in the Pilgrim Shawls to Bone Bottom&#8217;s wishwall and collect the reward.,向骸底镇祈愿墙提交朝圣者披肩领取奖励。
QUEST_COURIER_BONEBOTTOM_LOC,Bone Bottom,骸底镇
QUEST_SONGPILGRIM_CLOAKS_LOC,Residents of Songclave,圣歌盟地居民
QUEST_JOURNAL_DESC,Defeat the many creatures of Pharloom and fill out the Hunter&#8217;s Journal.,击败纺络众多生物完善猎手日志。
QUEST_FIXER2_DESC_WALL,"The road is hard for we pilgrims. I want to build a beautiful symbol of hope, to stand beside Bone Bottom and welcome all those who are about to begin their long journey.",朝圣之路太过艰难。我想建造一座希望的象征，矗立在骸底镇用以指引即将开始艰苦旅程的朝圣者。
QUEST_FIXER1_DESC_INV,Donate shell shards to aid repairs around Bone Bottom.,捐献甲壳碎片帮助骸底镇修缮。
QUEST_SAVE_COURIER_TALL_NAME,My Missing Brother,寻虫启事
QUEST_SONGCLAVE_DONATE_1_DESC_INV,Donate rosaries to aid the growing Songclave.,捐献念珠帮助圣歌盟地建设。
MQ_BLACKTHREAD_6_DESC,Dive into the void and cut Pharloom free.,进入虚空，切断纺络的枷锁。
QUESTBOARD_TITLE,Wishwall,祈愿墙
MQ_BLACKTHREAD_4_NAME,Spell Seeker,追寻咒语
QUEST_PILGRIM_RAGS_DESC_INV,Hunt haunted pilgrims of Pharloom and collect Pilgrim Shawls from their bodies.,猎杀在纺络游荡的咒蚀朝圣者并收集披肩。
QUEST_TROBBIO_2_DESC_WALL,"In the darkest of shadows, all is made clear. Pharloom draws its final breath, and we few remaining must bear its dying pain. Come to the Citadel&#8217;s Stage and let us suffer together.",在最黑暗的阴影中，真相终将显现。王国正咽下最后一口痛苦之气，而我们仍要完成演出。来圣堡剧台共赴苦难……
QUEST_ROACH_KILL_DESC,Hunt the Muckroaches of Sinner&#8217;s Road and collect Roach Guts from their bodies.,猎杀罪途的淤秽蟑螂并收集内脏。
QUEST_COURIER_SONGCLAVE_LOC,Songclave,圣歌盟地
QUEST_FLEAS_DESC,Seek fleas across the lands of Pharloom and guide them to the Flea Caravan.,寻回纺络各地的迷途跳蚤并引至旅团。
MQ_BLACKTHREAD_3_NAME,Return to Pharloom,返回纺络
QUEST_MOSSBERRY1_PRE_DESC,Speak to the Druid in Mosshome.,与苔栖乡的德鲁伊对话。
QUEST_JOURNAL_TITLE,Bugs of Pharloom,纺络虫族图鉴
MQ_PROMPT_BEGIN,New Objective,新目标
QUEST_GOURMAND_LOC,Mergwin of the Citadel,圣堡 梅尔格温
MQ_SILK_SNARE_DESC,Scale the Citadel and ensnare its monarch in a deadly trap.,攀登圣堡，用致命陷阱禁锢其君主。
COURIER_SUPPLIES_ITEM_TARGET_PILGRIMSREST,Deliver to Pilgrim&#8217;s Rest.,送往朝圣者憩所。
UI_BOARD_DELIVER_TITLE,Deliver,交付
QUEST_COURIER_FIXER_DESC,Deliver supplies to Flick at the Survivors&#8217; Camp.,向幸存者营地的弗利克交付补给品。
QUEST_SPRINT_PRE_DESC,Meet with Sprintmaster Swift at the furthest border of the Far Fields.,与飞毛腿斯威夫特在远野边际见面。
QUEST_SKULL_KING_DESC_READY,Turn in the Crown Fragment to Bone Bottom&#8217;s wishwall and collect the reward.,向骸底镇祈愿墙提交王冠碎片领取奖励。
QUEST_MOSSBERRY1_DESC,Collect Mossberries from the moss-covered areas of Pharloom&#8217;s lowlands.,在纺络低地的苔藓区域收集苔莓。
MQ_TYPE_SEEK,Seek,寻觅
SQ_MELODY_LIBRARIAN_RETURN_DESC_GOT,The Vaultkeeper&#8217;s Melody has been learned.,已学会书库管理员的旋律。
QUEST_SAVE_COURIER_TALL_DESC_WALL,"Need help-help quick! Me brother Pill is gone missing, vanished somewhere in Greymoor! Please, to help me find-find him!",急需帮助！我兄弟皮尔在灰沼某处失踪了，请帮我找到他！
SQ_BLACKTHREAD_5_ANT_NAME,Heart of the Wild,野性之心
QUEST_BELLHART_DONATION_START_LOC,Pavo of Bellhart,钟心镇 帕沃
QUEST_SPRINT_KILL_DESC,Race Sprintmaster Swift to discover Pharloom&#8217;s fastest bug.,挑战飞毛腿斯威夫特，看看谁是纺络最快的虫子。
QUEST_MRMUSHROOM_DESC_5,"Cage of one who raged against the silken lie,",囚笼首罪逆丝客，
MQ_PROMPT_COMPLETE,Objective Completed,目标完成
QUEST_MRMUSHROOM_DESC_7,"Past cradle&#8217;s peak, last test of fitness,",摇篮极顶终试炼，
QUEST_MRMUSHROOM_DESC_6,"Fell heart of frost, who soars on high,",霜心振翼费岳阙，
QUEST_JOURNAL_LOC,Nuu at the Halfway Home,中途酒馆 努努
QUEST_MRMUSHROOM_LOC,Pharloom,纺络
QUEST_MRMUSHROOM_DESC_3,"Scorched field on edge, shells black and burned,",焦土边际髓骨灼，
QUEST_MRMUSHROOM_DESC_2,"Over camp collapsed to the black thread plight,",骸营覆灭黑丝劫，
QUEST_SAVE_SHERMA_DESC,"Search for traces of the pilgrim, Sherma, and track his location.&lt;br&gt;&lt;br&gt;Sherma was travelling to the Citadel&#8217;s Whiteward.",寻找朝圣者谢尔玛的踪迹。&lt;br&gt;&lt;br&gt;他正在前往圣堡白愈厅。
COURIER_SUPPLIES_ITEM_NAME,Courier&#8217;s Swag,送货员行囊
Q_SOUL_SNARE_PRE_DESC,Meet with Caretaker in Songclave.,到圣歌盟地找看守者
QUEST_FIXER3_LOC,Flick of Bone Bottom,骸底镇 弗利克
QUEST_FLEAGAMES_DESC_READY,Speak to Fleamaster Mooshka and commence the final ceremony.,与跳蚤首领穆什卡交谈，开启最终仪式。
MQ_BELLSHRINES_DESC,Awaken the old bells throughout the lands.,复苏各地尘封的古钟。
QUEST_RUNTRESS_DESC_READY,Return to Runt with the organs.,带着器官返回复命。
QUEST_SAVE_SHERMA_NAME,Balm for the Wounded,愈伤良方
QUEST_SHINY_BELL_GOOMBAS_DESC_WALL,"When searching the bellveins carefully, you can sometimes find rare, silver bells. If we can salvage some, the material would be of great use!",仔细探索钟脉，有时能找到稀有的银光铃铛。收集它们会很有用！
QUEST_THREADCORES_DESC_READY,Return to Bellhart&#8217;s wishwall to collect the reward.,返回钟心镇祈愿墙领取奖励。
QUEST_TROBBIO_2_LOC,The Tormented One,受难者
MQ_TYPE_ASCEND,Ascend,攀升
MQ_CITADEL_ASCENT_DESC_LIFT,Rise above the Citadel and confront the one who haunts the lands of Pharloom.,跨越圣堡之巅，直面灾厄之源。
QUEST_BEASTFLY_TITLE,Savage Beastfly,暴怒兽蝇
SQ_BLACKTHREAD_5_FLOWER_DESC,Claim the Pollen Heart.,获取花粉之心。
QUEST_BEASTFLY_DESC,Track down the Savage Beastfly in the Far Fields and defeat it.&lt;br&gt;&lt;br&gt;The Beastfly can be tracked by its shell sheddings and claw marks.,在远野追踪并击败兽蝇。&lt;br&gt;&lt;br&gt;可通过外壳脱落物和爪痕追踪。
COURIER_SUPPLIES_ITEM_TARGET_BONEBOTTOM,Deliver to Bone Bottom.,送往骸底镇。
QUEST_SONGCLAVE_DONATE_2_TITLE,Strengthening Songclave,强化圣歌盟地
QUEST_HUNTRESS_GIVE_NAME,Organs,器官
QUEST_SHAKRA_FINAL_DESC_INV,Search for Shakra and her master in Bilewater.&lt;br&gt;&lt;br&gt;Shakra can be tracked by her trail of rings.,在腐汁泽寻找沙克拉与其导师。&lt;br&gt;&lt;br&gt;可通过她遗留的环状痕迹追踪。
QUEST_FIXER1_LOC,Flick of Bone Bottom,骸底镇 弗利克
QUEST_SPRINT_PRE_DESC_WALL,"Be you nimble? Be you quick? If you would prove yourself Pharloom&#8217;s fastest bug, meet me at the furthest border of the Far Fields! With all haste!",身法够快？动作迅捷？若想证明自己是纺络最快的虫子，就来远野边际见我！刻不容缓！
QUEST_MOSSBERRY1_DESC_READY,Give the Mossberries to the Druid of Mosshome.,将苔莓交给苔栖乡的德鲁伊。
GARMOND_BLACK_THREADED_WALL,A distressed bug was heard calling for help near the Bellway atop the great sandy steps. Will no one come to the sad wretch&#8217;s aid?,在蚀阶顶部的钟道附近听到了求救声，难道没有能者帮助那个可怜虫吗？
MQ_BLACKTHREAD_2_DESC,Reach the source of the black threads within the Abyss.,在深渊中找到黑灾的源头。
QUEST_FIXER2_LOC,Flick of Bone Bottom,骸底镇 弗利克
QUEST_BELL_HOUSE_START_TITLE,Restoration of Bellhart,重振钟心镇
MQ_BLACKTHREAD_5_DESC_END,Bring the old hearts to the Snail Shamans in the Ruined Chapel beside Bone Bottom.,将古老心脏带给颓败教堂的蜗牛萨满。
QUEST_FLEAGAMES_DESC,Achieve the high score in all Flea Games and become the Grand Champion.,在所有跳蚤游戏中夺得最高分，成为终极冠军。
QUEST_SAVE_COURIER_SHORT_NAME,My Missing Courier,失踪送货员
MQ_THREADSPUN_TOWN_DESC_INV,Break the silken curse ensnaring the town of Bellhart.,破除缠绕钟心镇的丝缚诅咒。
MQ_RESCUE_BELLBEAST_DESC,Descend into the bellway and defeat the hostile creature within.,深入钟道，击败其中的凶恶生物。
MQ_CITADEL_ASCENT_NAME,Pharloom&#8217;s Crown,纺络王冕
QUEST_WITCH_CURSE_LOC,,
COURIER_SUPPLIES_MEAT_DESC,Fatty meat of indeterminate origin. Once prepared it will quickly spoil if not stored properly.,来源不明的肥肉，若不妥善保存会快速变质。
QUEST_MRMUSHROOM_DESC_1,"Under chapel fallen to the monarch&#8217;s might,",圣堂倾颓君威下，
QUEST_COURIER_SLAVE_DESC,Deliver the Queen&#8217;s Egg to Styx of Sinner&#8217;s Road.,将女王之卵交给罪途的奴仆。
QUEST_CROW_LOC,Creige of the Halfway Home,中途酒馆 克雷吉
QUEST_SHININGCOGS_DESC_INV,Hunt Cogworks in Cogwork Core and collect Shining Cogs.,猎杀机枢核心的机械虫并收集闪亮齿轮。
QUEST_COURIER_SONGCLAVE_NAME,Songclave Supplies,圣歌盟地补给
QUEST_SONGPILGRIM_CLOAKS_DESC_INV,Hunt cloaked choirbugs of the Citadel and collect Choir Cloaks from their bodies.,猎杀圣堡游荡的圣咏机兵并收集外衣。
MQ_BELLSHRINES_DESC_READY,Return to the Grand Gate and open the way to the Citadel.,返回巨扉圣门，叩启通往圣堡的道路。
MQ_PROMPT_PROGRESS,Objective Updated,目标更新
QUEST_STEELSENTINEL_DESC_READY,Investigate the ritual site beside Bonegrave.,调查骸冢旁的仪式地点。
SQ_BLACKTHREAD_5_CORAL_DESC_END,The Encrusted Heart has been claimed from Crust King Khann.,已从壳王卡汗处获得壳王之心。
COURIER_SUPPLIES_SLAVE_NAME,Queen&#8217;s Egg,女王之卵
QUEST_SAVE_SHERMA_LOC,Sherma of Songclave,圣歌盟地 谢尔玛
QUEST_SKULL_KING_DESC_WALL,"A Skull Tyrant, largest of the Marrow&#8217;s loathsome boney predators, prowls the caves above the great path. Slay the beast and keep us all safe!",髓骨洞窟最巨大的骸骨掠食者——骷髅暴君正在上层洞穴游荡。斩杀它以保大家平安！
MQ_TYPE_DESCEND,Descend,潜降
QUEST_SONGPILGRIM_CLOAKS_TITLE,Cloaks of the Choir,圣咏外衣
MQ_CITADEL_SEEKER_LOC,Pharloom,纺络
QUEST_ANT_TRAPPER_LOC,Gilly of Far Fields,远野 吉莉
QUEST_COURIER_SLAVE_LOC,Sinner&#8217;s Road,罪途
QUEST_ANT_TRAPPER_DESC,Track the one who stole Gilly&#8217;s keepsake near the Bellshrine between Deep Docks and Far Fields.,追踪在深坞与远野之间的钟殿附近偷走吉莉纪念品的窃贼。
Q_SOUL_SNARE_NAME,Silk and Soul,灵丝与灵魂
MQ_TYPE_INVESTIGATE,Search,探查
MQ_BLACKTHREAD_6_NAME,Last Dive,最终潜跃
MQ_CITADEL_ASCENT_DESC,Scale the Citadel and confront the one who haunts the lands of Pharloom.,攀登圣堡，直面萦绕纺络的灾厄。
QUEST_SKULL_KING_TITLE,The Terrible Tyrant,暴君讨伐
QUEST_BROLLY_GET_TITLE,Flexile Spines,柔韧棘芯
COURIER_SUPPLIES_MASK_DESC,Pale glaze used in the preparation and protection of bone masks.,用于骨甲面甲制备和防护的苍白涂料。
Q_SOUL_SNARE_DESC_GOT,Give the collected components to the Caretaker of Songclave.,将收集的组件交给圣歌盟地看守者。
MQ_DIVINGBELL_2_NAME,The Dark Below,暗藏其下
QUEST_BROLLY_GET_LOC,Seamstress of Far Fields,远野裁缝
QUEST_FIXER1_DESC_WALL,"A lotta repairs to be done around here, but I need more materials! All I wish for is some shell shards so I can get to work. Not asking too much, am I?",这里有很多东西要修理，但我需要更多材料！我只想要些甲壳碎片来开工，这要求不过分吧？
QUEST_SAVE_COURIER_SHORT_DESC_WALL,"My dear little courier was last seen in Shellwood. Please, someone find Tipp and send him home, along with all of his precious stock!",我的小送货员最后一次出现在甲木林，请帮忙找到蒂普并送他回家，还有他那些珍贵的货物！
QUEST_THREADCORES_DESC_WALL,"Such horror upon the roads! Those black mounds formed of husks and bugs, corrupting everything around. If only someone would cut them down and grant the poor souls their rest!",道路上的恐怖景象！那些由空壳与虫尸堆成的黑色肿块，正腐蚀周边一切。希望有人能斩除它们，让可怜的灵魂安息！
QUEST_FIXER3_TITLE,A Lifesaving Bridge,救命桥
MQ_THREADSPUN_TOWN_NAME,The Threadspun Town,丝缚小镇
QUEST_SONGPILGRIM_CLOAKS_DESC_READY,Turn in the Choir Cloaks to Songclave&#8217;s wishwall and collect the reward.,向圣歌盟地祈愿墙提交圣咏外衣领取奖励。
MQ_RESCUE_BELLBEAST_NAME,Beast in the Bells,钟道兽患
QUEST_SONG_KNIGHT_DESC,Track the Second Sentinel by their markers left near Songclave.,通过圣歌盟地附近的标记追踪次席戍卫。
QUEST_SHINY_BELL_GOOMBAS_DESC_INV,Collect Silver Bells in the bellvein tunnels above and below Bellhart.,在钟心镇上下的钟脉收集银光铃铛。
COURIER_SUPPLIES_MEAT_NAME,Courier&#8217;s Rasher,送货虫的熏肉
COURIER_SUPPLIES_MEAT_TARGET_SLAVE,Deliver to Styx of Sinner&#8217;s Road.,将物资送至罪途的奴仆。
QUEST_RUNTRESS_DESC,Use tools to acquire organs of various types so Runt may feed.,使用工具获取各类器官喂养幼兽。
QUEST_BEASTFLY_LOC,Residents of Bellhart,钟心镇居民
